t_seconds,soc_percent
225,26.037909293338686
226,26.110015390733114
227,26.18212885897305
228,26.254249698811964
229,26.326377911003394
230,26.398513496300964
231,26.470656455458364
232,26.542806789229367
233,26.614964498367822
234,26.687129583627655
235,26.759302045762865
236,26.83148188552755
237,26.90366910367585
238,26.975863700961998
239,27.048065678140322
240,27.120275035965204
241,27.1924917751911
242,27.264715896572568
243,27.33694740086422
244,27.409186288820752
245,27.481432561196943
246,27.553686218747643
247,27.625947262227786
248,27.69821569239237
249,27.770491509996482
250,27.842774715795283
251,27.91506531054401
252,27.987363294997973
253,28.059668669912575
254,28.13198143604328
255,28.20430159414563
256,28.276629144975253
257,28.348964089287847
258,28.421306427839195
259,28.49365616138515
260,28.566013290681646
261,28.638377816484688
262,28.710749739550373
263,28.78312906063486
264,28.85551578049439
265,28.927909899885286
266,29.00031141956394
267,29.07272034028683
268,29.1451366628105
269,29.217560387891588
270,29.289991516286797
271,29.36243004875291
272,29.434875986046784
273,29.50732932892536
274,29.579790078145653
275,29.65225823446475
276,29.72473379863983
277,29.797216771428133
278,29.869707153586987
279,29.942204945873797
280,30.014710149046042
281,30.087222763861277
282,30.159742791077136
283,30.232270231451334
284,30.30480508574166
285,30.37734735470598
286,30.449897039102236
287,30.522454139688453
288,30.595018657222735
289,30.667590592463252
290,30.740169946168262
291,30.81275671909609
292,30.88535091200515
293,30.95795252565393
294,31.030561560800997
295,31.103178018204993
296,31.175801898624634
297,31.248433202818717
298,31.32107193154611
299,31.39371808556578
300,31.46637166563675
301,31.539032672518125
302,31.611701106969093
303,31.684376969748918
304,31.75706026161694
305,31.829750983332573
306,31.902449135655313
307,31.975154719344733
308,32.04786773516049
309,32.1205881838623
310,32.19331606620999
311,32.266051382963425
312,32.338794134882576
313,32.41154432272747
314,32.48430194725824
315,32.55706700923507
316,32.62983950941823
317,32.702619448568086
318,32.77540682744505
319,32.848201646809635
320,32.92100390742242
321,32.993813610044064
322,33.06663075543531
323,33.13945534435698
324,33.21228737756996
325,33.28512685583522
326,33.35797377991382
327,33.430828150566875
328,33.5036899685556
329,33.57655923464127
330,33.64943594958526
331,33.722320114149
332,33.795211729094
333,33.86811079518186
334,33.94101731317426
335,34.01393128383294
336,34.08685270791973
337,34.159781586196544
338,34.232717919425355
339,34.30566170836823
340,34.378612953787304
341,34.4515716564448
342,34.52453781710301
343,34.597511436524314
344,34.67049251547116
345,34.74348105470607
346,34.816477054991665
347,34.88948051709062
348,34.9624914417657
349,35.03550982977975
350,35.10853568189568
351,35.1815689988765
352,35.25460978148527
353,35.32765803048515
354,35.40071374663938
355,35.47377693071126
356,35.54684758346418
357,35.6199257056616
358,35.69301129806707
359,35.76610436144421
360,35.83920489655671
361,35.91231290416836
362,35.98542838504301
363,36.05855133994459
364,36.13168176963712
365,36.20481967488468
366,36.27796505645145
367,36.35111791510167
368,36.42427825159965
369,36.49744606670981
370,36.57062136119663
371,36.64380413582466
372,36.71699439135855
373,36.790192128563
374,36.86339734820281
375,36.93661005104285
376,37.009830237848064
377,37.08305790938349
378,37.15629306641423
379,37.22953570970546
380,37.30278584002245
381,37.376043458130546
382,37.44930856479515
383,37.522581160781776
384,37.59586124685599
385,37.669148823783445
386,37.742443892329874
387,37.81574645326109
388,37.88905650734298
389,37.962374055341506
390,38.03569909802272
391,38.109031636152736
392,38.182371670497766
393,38.255719201824085
394,38.32907423089805
395,38.4024367584861
396,38.47580678535474
397,38.549184312270576
398,38.622569340000275
399,38.69596186931059
400,38.76936190096834
401,38.84276943574044
402,38.91618447439387
403,38.9896070176957
404,39.06303706641306
405,39.136474621313184
406,39.20991968316336
407,39.28337225273098
408,39.356832330783476
409,39.4302999180884
410,39.50377501541336
411,39.577257623526044
412,39.65074774319423
413,39.72424537518576
414,39.79775052026856
415,39.87126317921063
416,39.94478335278006
417,40.01831104174501
418,40.09184624687372
419,40.165388968934515
420,40.23893920869578
421,40.312496966926005
422,40.386062244393734
423,40.45963504186761
424,40.53321536011633
425,40.6068031999087
426,40.68039856201358
427,40.75400144719992
428,40.82761185623674
429,40.90122978989316
430,40.97485524893835
431,41.04848823414157
432,41.122128746272175
433,41.19577678609957
434,41.26943235439326
435,41.34309545192282
436,41.41676607945791
437,41.49044423776825
438,41.56412992762367
439,41.637823149794045
440,41.711523905049354
441,41.78523219415965
442,41.85894801789505
443,41.93267137702577
444,42.006402272322084
